phylum	ERR2213660	ERR2213661	ERR2213662	ERR2213663	ERR2213664	ERR2213665	ERR2213666	ERR2213667	ERR2213668	ERR2213669	ERR2213670	ERR2213671	ERR2213672	ERR2213673	ERR2213674	ERR2213675	ERR2213676	ERR2213677	ERR2213678	ERR2213679	ERR2213680	ERR2213681	ERR2213682	ERR2213683	ERR2213684	ERR2213685	ERR2213686	ERR2213687	ERR2213688	ERR2213689	ERR2213690	ERR2213691	ERR2213692	ERR2213693	ERR2213694	ERR2213695	ERR2213696	ERR2213697	ERR2213698	ERR2213699	ERR2213700	ERR2213701	ERR2213702	ERR2213703	ERR2213704	ERR2213705	ERR2213706	ERR2213707	ERR2213708	ERR2213709	ERR2213710	ERR2213711	ERR2213712	ERR2213713	ERR2213714	ERR2213715	ERR2213716	ERR2213717	ERR2213718	ERR2213719	ERR2213720	ERR2213721	ERR2213722	ERR2213723	ERR2213724	ERR2213725	ERR2213726	ERR2213727	ERR2213728	ERR2213729	ERR2213730	ERR2213731	ERR2213732	ERR2213733	ERR2213734	ERR2213735	ERR2213736	ERR2213737	ERR2213738	ERR2213739	ERR2213740	ERR2213741	ERR2213742	ERR2213743	ERR2235210	ERR2235211	ERR2235212	ERR2235213	ERR2235214	ERR2235215	ERR2235216	ERR2235217	ERR2235218	ERR2235219	ERR2235220	ERR2235221	ERR2235222	ERR2235223	ERR2235224	ERR2235225	ERR2235226	ERR2235227	ERR2235228	ERR2235229	ERR2235230	ERR2235231	ERR2235232	ERR2235233	ERR2235234	ERR2235235	ERR2235236	ERR2235237	ERR2235238	ERR2235239	ERR2235240	ERR2235241	ERR2235242	ERR2235243	ERR2235244	ERR2235245	ERR2235246	ERR2235247	ERR2235248	ERR2235249	ERR2235250	ERR2235251	ERR2235252	ERR2235253	ERR2235254	ERR2235255	ERR2235256	ERR2235257	ERR2235258	ERR2235259	ERR2235260	ERR2235261	ERR2235262	ERR2235263	ERR2235264	ERR2235265	ERR2235266	ERR2235267	ERR2235268	ERR2235269	ERR2235270	ERR2235271	ERR2235272	ERR2235273	ERR2235274	ERR2235275	ERR2235276	ERR2235277	ERR2235278	ERR2235279	ERR2235280	ERR2235281	ERR2235282	ERR2235283	ERR2235284	ERR2235285	ERR2235286	ERR2235287	ERR2235288	ERR2235289	ERR2235290	ERR2235291	ERR2235292	ERR2235293	ERR2235294	ERR2235295	ERR2235296	ERR2235297	ERR2235298	ERR2235299	ERR2235300	ERR2235301	ERR2235302	ERR2235303	ERR2235304	ERR2235305	ERR2235306	ERR2235307	ERR2235308	ERR2235309	ERR2235310	ERR2235311	ERR2235312	ERR2235313	ERR2235314	ERR2235315	ERR2235316	ERR2235317	ERR2235318	ERR2235319	ERR2235320	ERR2235321	ERR2235322	ERR2235323	ERR2235324	ERR2235325	ERR2235326	ERR2235327	ERR2235328	ERR2235329	ERR2235330	ERR2235331	ERR2235332	ERR2235333	ERR2235334	ERR2235335	ERR2235336	ERR2235337	ERR2235338	ERR2235339	ERR2235340	ERR2235341	ERR2235342	ERR2235343	ERR2235344
k__Archaea|p__Euryarchaeota	0	0	0	0	2.10777	0	0	0	0	0	0	0.27888	0	0	0.89883	0	0	0	0	0	0	1.50437	0.00716	0.0467	0.05633	0	0	0	0	0	0	0	0	0	0.05955	0	0	0	0	0	0	0	0	0	0.15504	0.12695	0	0.34239	0.19493	0.07795	0.87376	0.43544	0	0.7009	0.82478	0	0	0	0.08782	0	0	0	0	0	0	0.07847	0	0	1.78783	0.3578	0.67443	0	0	0.85439	0	0.23172	0	0	0	0	0	0	0	0	0.00552	0.16923	0	0	0.10238	0	0.17216	0	0	0.11358	0	0	0.57268	0	0.03928	0	0	0	0.18474	0.02795	0	0.01029	0	0	0	0	0.04661	0.16621	0	0.06234	0.58013	0	0	0.00583	0	0	0	0	0.15667	0.24735	0.25852	2.07802	1.79912	0.01555	0	0	0.16189	0	0	0	0	0.02215	0.20136	0	0	0	0	0	0	0	0	0.22898	0.21615	0.22501	0.46479	0.23868	0.29138	0	0.48192	0.06966	0	0	0	0	0.04015	0.03251	0.08182	0.03023	0	0	0	0	0	0	0	0	0	0.04097	0	0	0.26898	0.02538	0.18512	1.91988	0.08084	0.03384	0.07301	0.11027	0.07966	0.00478	0.00581	0.11841	0.11454	0	0	0	0	0	0.14284	0	0.03607	0.33019	0.08402	0	0	0.00564	0.07539	0	0	0.10203	0	0	0	0	0.02055	0.12969	0.05562	0.33559	1.06985	0	0	0	0.06446	0	0
k__Bacteria|p__Acidobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00753	0	0	0	0	0.00687	0	0	0	0	0	0	0	0	0	0	0.00604	0	0	0	0	0	0.00612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00817	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.00646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01088	0.00974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0066	0	0	0	0	0	0	0.008	0	0	0	0	0	0.00721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria	0.21177	1.79543	0.41373	0.55825	3.61258	0.61828	0.81368	3.16834	1.89117	2.81607	0.44575	0.66192	0.51087	6.28062	1.48243	1.69945	0.91216	2.05681	2.07707	0.28961	1.1803	0.22	0.6141	0.65164	0.72563	3.55638	3.58746	3.58681	0.10321	0.12701	0.1078	0.17263	0.83806	3.73283	0.25388	0.49063	0.2718	1.37328	1.61359	0	0.13759	7.58582	2.99794	4.30456	0.47546	0.8453	0.38922	1.30857	0.98054	0.80553	1.16206	4.73185	4.29036	2.19948	1.03671	0.52147	2.04549	2.50033	4.82057	0.95203	1.20161	0.92021	0.5078	0.19921	0.08239	0.77861	0.34203	2.96049	5.64555	1.4157	0.73344	0.25526	2.11862	0.8152	0.05144	0.36918	2.53221	0.27553	0.15715	0.18402	0.19581	0.21031	0.16077	0.11092	0.01729	15.59616	0.43813	2.82293	6.16547	0	0.07715	0.75675	0.13151	1.10752	0.77061	5.36936	2.43923	1.14734	0.16246	0.66958	6.79963	1.82309	2.22684	0.4491	0.63618	0.34265	0.08638	0.1662	0.59515	1.43237	0.60942	1.52653	0.40762	0.24473	3.09281	1.25278	0.06486	0.13147	1.04603	0.87656	0.13826	0.20498	1.47463	2.51711	1.29188	3.75271	1.39628	0.39078	0.60242	0.99818	1.58891	0.62327	0.15867	0.06006	0.53959	0.72699	1.37361	0.06823	0.0649	0.29048	0.47459	1.35081	1.05315	10.06994	7.27578	1.09276	0.86279	2.60384	1.777	1.36202	3.86801	0.10145	0.24542	0.16602	0.14519	0.03791	0.83058	1.05451	0.06478	0.08294	0.10839	1.6817	0.6899	0.44317	0.25598	0.14778	0.39101	0.68527	0.32119	0.16978	1.75672	0.67478	0.32607	0.37996	0.58297	4.13782	3.86905	4.51253	2.32016	0.82099	0.06119	0.08657	0.09189	0.69467	0.6849	0.30545	0.41596	0.13929	0.12743	0.02753	1.74566	0.7269	1.2932	1.76364	4.63757	0.11366	0.69473	0.07307	17.8634	0.1743	0.71034	0.70412	0.16254	1.88144	0.81719	0.92512	0.36518	0.16951	0.13853	1.40161	0.39733	2.16844	2.50989	0.85532	0.60693	0.62769	0.89467	0.04058	0.0526
k__Bacteria|p__Bacteroidetes	46.86769	55.11901	40.29399	0	30.59449	45.23752	51.11572	28.65348	53.6109	35.90002	64.99327	43.72773	71.15498	55.30259	16.85205	49.79171	41.4119	76.56733	77.60905	65.43554	34.02195	35.41773	77.67841	58.9766	66.27826	39.0593	40.33311	39.38377	55.98869	34.19499	38.43942	74.74414	54.90445	90.22891	43.49723	43.42796	63.63126	53.22184	43.038	79.62467	28.63295	53.33678	47.76158	57.18881	44.06753	46.07845	49.11605	23.15472	20.38678	19.65941	22.28208	41.63526	45.51329	30.49971	30.06829	55.783	45.8302	43.38778	32.77101	29.40509	48.323	57.15181	49.713	30.23612	65.52252	28.79253	56.08424	63.97378	67.93493	62.80144	67.75022	51.06209	65.89693	26.06155	48.63096	58.66798	53.49911	77.49482	74.55234	77.32861	64.74761	53.43919	62.1631	45.97947	52.07912	37.14094	64.94294	48.01204	52.7187	99.50705	60.35435	47.03079	61.73463	43.35277	60.24401	27.79923	42.04762	38.79354	52.56721	73.29108	36.94668	35.53698	27.66952	49.95735	67.02576	73.32208	76.25406	59.42257	64.531	77.45432	52.61246	39.48306	35.66015	46.08152	39.00746	47.38028	70.71209	73.51703	67.12502	71.55991	67.62729	67.61981	49.36911	39.39323	43.43614	39.01515	31.19115	50.50178	49.74893	11.79094	47.59667	44.94367	55.62622	47.11857	45.74716	60.22456	58.3191	67.32712	70.88736	69.38972	59.5914	48.14555	64.04724	54.61306	40.57424	19.61439	29.15403	24.71089	36.59425	40.37634	18.51222	30.33504	46.28211	36.04334	61.11407	53.23369	66.85036	25.74372	40.69096	46.91051	48.27115	42.79228	42.14205	60.7698	42.57122	35.07224	38.27236	57.09392	63.08961	49.34932	24.30892	60.80632	75.99657	57.165	32.49751	24.94713	41.04017	29.12285	42.76052	61.68634	50.90747	45.60278	51.8541	47.408	37.35512	24.13421	22.07512	43.87877	61.57027	14.0821	39.95798	52.44861	21.93412	59.3415	36.70003	28.45395	56.83282	85.10337	43.84727	67.0094	41.93493	42.57767	28.96931	57.74494	38.41098	58.95819	50.78644	77.97282	40.46925	65.45292	57.16864	49.07939	71.07317	78.6318	50.73482	32.38669	32.8823	48.82699	65.0045
k__Bacteria|p__Candidatus_Saccharibacteria	0	0	0	0	0	0	0.00883	0.00923	0	0.00905	0	0	0	0	0.0229	0	0	0	0	0	0	0	0	0	0	0.05667	0.00404	0.01449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00635	0	0	0	0	0	0	0	0	0	0	0	0.00171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00179	0.00569	0	0	0.00496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00594	0	0	0	0	0.01253	0	0	0	0	0.00379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01235	0.00222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlorobi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Deferribacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Deinococcus_Thermus	0	0	0	0.00946	0	0	0	0	0	0	0	0	0	0	0.01275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03022	0	0	0	0	0	0	0	0	0	0	0	0	0.00609	0	0	0	0	0	0	0	0.02489	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00915	0	0	0	0	0	0	0	0.0093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00882	0	0	0	0	0	0	0	0	0.00598	0	0	0	0	0	0	0	0.00816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00679	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes	45.99063	35.82776	50.80084	73.64163	53.2978	51.11513	44.43487	65.41657	36.5085	39.81278	31.54836	51.13495	24.7967	29.72494	60.3473	46.71804	55.17702	16.08805	13.71912	32.70212	36.58586	50.90143	18.61636	34.29795	29.84661	56.94839	54.90462	56.71644	24.62378	61.08099	59.02239	24.1009	40.64976	5.99544	55.2673	54.95564	30.53724	33.93612	35.55405	10.65528	65.89602	30.7467	25.63244	31.24573	24.30338	45.90232	41.17321	74.08747	74.96053	77.74404	52.38121	47.42894	46.42802	63.55024	65.80976	40.92442	48.87208	53.3776	52.42277	57.70888	44.32145	17.26642	39.53099	60.08573	30.78834	34.42855	22.95127	32.19312	20.14492	32.90102	27.54286	41.09414	29.13861	58.10102	48.71253	27.04777	40.3843	16.15165	20.27119	18.46939	34.02875	27.56555	30.01571	18.55336	43.2908	16.50591	33.655	42.19051	39.63929	0.47979	26.56063	47.84053	29.59995	49.33022	34.19838	51.38353	24.85449	59.20709	34.07921	25.22848	54.89103	60.47987	57.69352	47.53387	24.91226	25.03352	19.13263	37.8795	32.38487	19.28929	44.51975	55.02219	44.87383	49.00717	42.86457	22.44766	27.50206	25.27647	24.54926	26.01813	28.47205	21.37396	44.94	54.53918	51.63815	46.07727	36.04164	38.90832	46.14658	87.08915	49.07186	52.35736	43.08467	50.32676	45.85466	32.97683	30.58507	30.9315	26.33652	27.82269	38.2918	48.74196	33.12249	34.27437	50.87291	67.1378	48.42267	55.85711	46.76565	55.94392	75.45876	52.03871	29.69676	61.39311	35.46163	45.39279	28.53236	66.42879	57.26651	49.15559	47.91438	51.01159	43.97303	37.30219	55.3342	62.81839	59.3819	38.77458	35.49399	48.91129	65.9821	31.64807	18.73687	38.03627	23.23797	69.1649	48.30744	58.75873	53.48032	36.00804	44.04968	50.76611	36.82842	41.80557	23.50541	23.37488	24.01577	27.92331	36.36219	5.70701	47.83526	41.47779	34.25455	34.7212	48.48707	55.59625	40.72126	12.66381	22.5614	30.65131	56.31495	54.75514	59.84533	39.31457	55.38907	39.49961	46.52836	21.67328	45.53486	29.02482	28.69305	42.12903	22.00561	14.92651	29.30497	59.67726	65.12818	49.5286	31.85503
k__Bacteria|p__Fusobacteria	0	0	0	0.22309	0	0	0	0.02439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.915	0	0	0.00056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24498	0	0	0	0	0	0.02655	0	0.03641	0	0	0	0	0	0	0	0	0	0	0	0	0.00213	0.64205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00055	0	0	0	0	0.02212	0	0.71268	3.96786	0	0	0	0	0	0	0	0	0	0.04509	0	0	0	0	0	0	0	0	0	0.00521	0	0	0	0	0	0	0	0	0	0.0013	0.65086	0.00065	0	0	0	0	0	0	0	0	0	0	0	0	0.03503	0	0	0	0	0.01297	0	0	0	0	0	0	0	0	0	0	0
